question,answer,label
"Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?","It took Leo 25 x 2 = <<25*2=50>>50 minutes to finish the second part of the assignment.
Leo finished the first and second parts of the assignment in 25 + 50 = <<25+50=75>>75 minutes.
He finished the entire assignment in 60 x 2 = <<60*2=120>>120 minutes.
Therefore, it took Leo 120 - 75 = <<120-75=45>>45 minutes to finish the third part of the assignment.
#### 45",45
Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?,"The tickets cost $10.00 each and he has to buy 2 tickets so that's 10*2 = $<<10*2=20.00>>20.00
They each grab a box of candy that's $2.50 a box so that will cost 2*2.50 = $<<2*2.50=5.00>>5.00
The tickets cost $20.00, the candy is $5.00 and the combo will is $11.00 so Connor will spend 20+5+11 = $<<20+5+11=36.00>>36.00 during his date
#### 36",36
Susie has 572 beans in the jar. One-fourth of them are red and one-third of the remaining beans are white. Then half of the remaining are green beans. How many green beans are there?,"Susie has 572 x 1/4 = <<572*1/4=143>>143 red beans.
There were 572 - 143 = <<572-143=429>>429 beans that are not red.
There are 429 x 1/3 = <<429*1/3=143>>143 white beans.
So, there were 429 - 143 = <<429-143=286>>286 beans left.
Therefore, 286/2 = <<286/2=143>>143 beans are green.
#### 143",143
"Jim collects model cars, and he has 301 models total.  Jim has 4 times as many Buicks as Fords, and 3 more than twice the number of Fords than Chevys.  How many Buicks does Jim have?","Let x represent the number of Chevys
Fords:3+2x
Buicks:4(3+2x)=12+8x
Total:x+3+2x+12+8x=301
11x+15=301
11x=286
x=<<26=26>>26
Buicks:12+8(26)=220
#### 220",220
"Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?","Peter needs $5,000 – $2,900 = $<<5000-2900=2100>>2,100 in total.
He will have to wait for $2100 ÷ $700/month = <<2100/700=3>>3 months to reach his goal.
#### 3",3
"Wendy spent 25 years as an accountant and 15 years as an accounting manager. If Wendy lived to be 80 years old, what percentage of her life did she spend in an accounting-related job?","First find the total number of years Wendy spent in accounting: 25 years + 15 years = <<25+15=40>>40 years
Then divide the number of years she spent in accounting by the number of years she lived and multiply by 100% to find the percentage of her life: 40 years / 80 years * 100% = 50%
#### 50",50
"Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not show up to run. This year, there will be twice as many runners as last year. How many people will run this year?","There were 200 - 40 = <<200-40=160>>160 runners last year.
Therefore, there will be 2 x 160 = <<2*160=320>>320 runners this year.
#### 320",320
"Dulce's father has eight orange trees on his farm. If each tree has 200 fruits and Dulce picks 2/5 of the oranges from each tree, calculate the total number of fruits remaining in all the trees.","The total number of oranges in all the trees before Dulce picked any is 8 trees * 200 oranges/tree = <<8*200=1600>>1600 oranges.
If each orange tree has 200 oranges, and Dulce picks 2/5 of each tree's oranges, she picks 2/5 * 200 oranges = <<2/5*200=80>>80 oranges.
Since the total number of orange trees is eight, Dulce picked 8 trees * 80 oranges/tree = <<8*80=640>>640 oranges from all the trees.
After picking 640 oranges from the trees, the total number of oranges remaining became 1600 oranges - 640 oranges = 960 oranges.
#### 960",960
Padma is trading cards with Robert. Padma started with 75 cards and traded 2 or her valuable ones for 10 of Robert's cards. Robert started with 88 of his own cards and traded another 8 of his cards for 15 of Padma's cards. How many cards were traded between both Padma and Robert?,"Padma traded 2 + 15 of her cards = <<2+15=17>>17 cards.
Robert traded 10 + 8 of his cards = <<10+8=18>>18 cards.
In total, between both of them Padma and Robert traded 17 + 18 = <<17+18=35>>35 cards.
#### 35",35
"Jason is planning a parking garage that will have 12 floors. Every 3rd floor has a gate where drivers have to show ID, which takes two minutes. To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second. How long, in seconds, does it take to get to the bottom of the garage from the top?","First find the total number of gates someone has to pass through: 12 floors / 3 floors/gate = <<12/3=4>>4 gates
Then find the total time someone spends waiting at the gates: 4 gates * 2 minutes/gate = <<4*2=8>>8 minutes
Then convert that time to seconds: 8 minutes * 60 seconds/minute = <<8*60=480>>480 seconds
Then find the time to drive through one floor in seconds: 800 feet / 10 feet/second = <<800/10=80>>80 seconds
Then multiply the time per floor by the number of floors to find the total driving time: 80 seconds/floor * 12 floors = 960 seconds
Then add the total driving time to the total time waiting at the gates to find the total time to get to the bottom: 960 seconds + 480 seconds = <<960+480=1440>>1440 seconds
#### 1440",1440
